,Very leafy - 20 ft vis,Very leafy - 20 ft vis-bottom,Very leafy - 50 ft vis,Very leafy - 50 ft vis-bottom,Leafy - 100 ft vis,Leafy - 100 ft vis-bottom,Leafy - 200 ft vis,Leafy - 200 ft vis-bottom,Large trunks - 300 ft vis
100.0,0.10403090963504602,0.06582688323692906,0.10363272396474452,0.0652740964862929,0.0652740964862929,0.0351532084702309,0.0351532084702309,0.022224751327231666,0.06435492517647233
158.48931924611142,0.13229274207152983,0.11185261391420183,0.11795443470204119,0.07764991014634887,0.07764991014634887,0.04682221572473176,0.04682221572473176,0.030302706738063262,0.07487684918063649
251.18864315095797,0.1660868331622585,0.14353404077442855,0.1430380871559976,0.09336978033665577,0.09336978033665577,0.05857958148151046,0.05857958148151046,0.039214461687446016,0.0878288368394945
398.1071705534973,0.19621840956812978,0.1715904448047793,0.17119195557994785,0.11217446405782674,0.11217446405782674,0.0692262269310475,0.0692262269310475,0.04644696342217577,0.10238887672934942
630.957344480193,0.22334417389270939,0.19535434396826473,0.19449015191823976,0.1360788456279642,0.1360788456279642,0.08015660769537283,0.08015660769537283,0.0519866469752829,0.11971211895716516
1000.0,0.2630410415630943,0.2210205001931542,0.22088162316520007,0.16404922856660897,0.16404922856660897,0.09647823571763156,0.09647823571763156,0.06040118059283194,0.13930129004510888
1584.893192461114,0.3385192421470473,0.2683579008050987,0.2661548321064345,0.19811434410216197,0.19811434410216197,0.1238605334490466,0.1238605334490466,0.07714530895048419,0.15982688380308616
2511.886431509582,0.4569535157874679,0.32029862463958947,0.3187744645762789,0.24022566157643582,0.24022566157643582,0.17421545180025136,0.17421545180025136,0.115326826282245,0.18165122039471074
3981.0717055349733,0.5738907373218712,0.3775841561029868,0.3775092418033191,0.28885255199079285,0.28885255199079285,0.21988003422971436,0.21988003422971436,0.1629754161942549,0.2049480609663482
6309.57344480193,0.6917520897500994,0.4397695251016508,0.43884547362523085,0.3504237336678574,0.3504237336678574,0.26946639491953955,0.26946639491953955,0.20969964842355626,0.23302669197964113
10000.0,0.8144770680751606,0.5219368088550612,0.5173139119796532,0.42445828212956327,0.42445828212956327,0.33295017882377537,0.33295017882377537,0.26474601592233965,0.26135884890214334
